,0,1,2,3
0,13281780,96,77,444
1,80262636,6,68,6
2,80281883,6,28,1
3,80281906,6,112,6
4,80288152,1,140,8
5,80294043,12,124,8
6,80302469,3,60,3
7,80304046,6,36,2
8,80310907,12,244,17
9,80312154,6,68,6
10,80313025,16,80,5
11,80318323,3,60,3
12,80321312,6,60,3
13,80321313,12,329,17
14,80323834,12,240,17
15,80324217,6,105,5
16,80328036,1,125,8
17,80328985,12,162,17
18,80328986,12,216,17
19,80342407,6,120,7
20,80348868,12,225,17
21,80351615,6,105,5
22,80352326,12,244,17
23,80358562,6,72,5
24,80358592,6,120,7
25,80359464,6,120,7
26,80680152,1,204,16
27,80680351,1,30,1
28,80680755,6,80,6
29,80681384,1,63,6
30,80681659,1,76,6
31,80681791,1,72,6
32,80682117,1,42,1
33,80682285,1,90,3
34,80682420,1,140,10
35,80682786,1,60,4
36,80682901,1,36,1
37,80683027,1,48,2
38,80683069,1,68,4
39,80683076,1,105,9
40,80683183,1,72,5
41,80683186,1,24,2
42,80683551,1,49,2
43,80683582,1,189,14
44,80683677,1,91,3
45,80683840,1,45,2
46,80684509,1,45,1
47,80684707,1,108,4
48,80684709,1,78,3
49,80684721,1,60,3
50,80684725,1,54,2
51,80684825,1,125,5
52,80684969,1,70,3
53,80684970,1,80,3
54,80685012,1,160,12
55,80685076,1,100,5
56,80685078,1,98,5
57,80685140,6,80,6
58,80685187,1,126,4
59,80685194,1,30,1
60,80685512,1,40,2
61,80685524,1,40,3
62,80685837,1,56,3
63,80685851,1,20,1
64,80685976,1,275,10
65,80686101,1,198,9
66,80686219,1,72,5
67,80686253,1,36,1
68,80686359,1,145,10
69,80686367,1,96,8
70,80686372,1,48,4
71,80686700,1,60,5
72,80686701,1,60,5
73,80686705,1,88,7
74,80686720,1,60,5
75,80686732,1,88,7
76,80686736,1,90,7
77,80686741,1,88,7
78,80686746,1,90,7
79,80686753,1,90,7
80,80686755,1,60,5
81,80686786,1,76,6
82,80686826,1,90,7
83,80686832,72,117,6
84,80686833,72,72,6
85,80686837,72,50,3
86,80686852,36,63,3
87,80686855,6,160,14
88,80686857,36,45,3
89,80686865,36,28,2
90,80686871,1,48,4
91,80687022,72,117,6
92,80687023,72,28,2
93,80687169,1,174,9
94,80687170,1,174,9
95,80687335,1,80,4
96,80687337,1,90,4
97,80687347,1,90,4
98,80687368,1,77,4
99,80687468,1,96,4
100,80687774,1,170,17
101,80687863,1,84,5
102,80688307,1,96,5
103,80688368,1,65,3
104,80688393,1,24,1
105,80688414,1,60,4
106,80689179,1,40,3
107,80689248,6,189,9
108,80689398,1,25,1
109,80689654,6,160,14
110,80689919,1,18,2
111,80690150,1,70,5
112,80690164,1,40,3
113,80690289,1,48,3
114,80690313,1,100,7
115,80690320,1,104,7
116,80690321,1,104,7
117,80690333,1,100,7
118,80690374,1,91,4
119,80690460,1,78,7
120,80690843,1,112,6
121,80690844,1,112,6
122,80690845,1,112,6
123,80690846,1,40,4
124,80691013,1,210,9
125,80691014,1,160,9
126,80691371,10,85,5
127,80691374,1,160,12
128,80691377,1,76,5
129,80691393,40,45,3
130,80691398,1,180,12
131,80691427,1,87,7
132,80691429,1,87,7
133,80691430,1,100,7
134,80691432,1,100,7
135,80691995,1,78,7
136,80692263,1,153,10
137,80692265,1,306,27
138,80692304,1,60,5
139,80692365,1,126,7
140,80692968,1,76,6
141,80693089,1,170,17
142,80693093,1,153,10
143,80693097,1,306,27
144,80693151,1,120,6
145,80693598,1,50,4
146,80693629,1,80,3
147,80693830,1,104,7
148,80693831,1,95,6
149,80694111,1,63,5
150,80694112,1,63,5
151,80694119,1,63,5
152,80694140,1,96,8
153,80694147,1,96,8
154,80694152,1,96,8
155,80694159,1,100,7
156,80694188,1,96,3
157,80694189,1,60,2
158,80694254,1,30,1
159,80694741,1,100,4
160,80694744,1,70,3
161,80695643,1,126,5
162,80695709,1,90,5
163,80695715,1,100,5
164,80695872,1,40,3
165,80695884,1,56,4
166,80695887,1,56,4
167,80695894,1,112,4
168,80695895,1,42,3
169,80695901,1,56,4
170,80696039,1,120,7
171,80696312,1,68,6
172,80696555,1,68,4
173,80696633,1,36,1
174,80696975,1,320,27
175,80696977,1,320,27
176,80697338,1,60,2
177,80697868,1,95,5
178,80697869,1,90,5
179,80697870,1,95,5
180,80698030,1,65,4
181,80698079,6,96,7
182,80698212,1,162,7
183,80698826,1,125,8
184,80698829,1,180,11
185,80700015,1,45,4
186,80700303,1,60,3
187,80700601,1,80,10
188,80700604,1,56,4
189,80700787,1,138,6
190,80700915,1,164,13
191,80700971,1,252,25
192,80701081,1,252,25
193,80701164,1,96,8
194,80701174,1,152,14
195,80701175,1,172,15
196,80701311,1,100,6
197,80701458,1,95,5
198,80701476,1,60,5
199,80702209,1,50,2
200,80702398,1,70,6
201,80702894,1,36,3
202,80703042,1,72,5
203,80704146,1,60,4
204,80704147,1,144,10
205,80704372,1,90,3
206,80707075,1,60,2
207,80707722,1,72,3
208,80707741,1,76,6
209,80707759,1,100,7
210,80707762,1,100,7
211,80707767,1,100,7
212,80707773,1,100,7
213,80707790,1,70,3
214,80707793,1,72,3
215,80708053,24,24,2
216,80708058,1,90,4
217,80708138,1,60,2
218,80708476,1,252,18
219,80709160,1,91,3
220,80709336,1,56,4
221,80709660,1,40,3
222,80709662,1,60,4
223,80709663,1,50,4
224,80709919,1,95,5
225,80709929,1,100,7
226,80710129,1,60,5
227,80710498,1,80,5
228,80710885,1,155,11
229,80713270,1,153,10
230,80713272,1,153,10
231,80713448,1,76,6
232,80713449,1,76,6
233,80713457,1,76,6
234,80714483,1,306,10
235,80714622,1,88,8
236,80714624,1,88,8
237,80714644,1,63,3
238,80714645,1,63,3
239,80715910,1,45,1
240,80716987,1,76,6
241,80717093,1,70,4
242,80717108,1,45,4
243,80717150,1,24,2
244,80717151,1,18,1
245,80717324,1,56,4
246,80717325,1,55,3
247,80718064,1,72,3
248,80720004,1,18,1
249,80720225,1,216,18
250,80720227,1,110,18
251,80720841,1,24,1
252,80722276,1,126,7
253,80722278,1,153,10
254,80722439,1,216,18
255,80722539,1,216,18
256,82139817,120,20,4
257,82152903,96,20,3
258,82159625,1,56,4
259,82169466,1,60,3
260,82170042,1,70,3
261,82170061,1,60,3
262,82170063,1,35,2
263,82171919,1,56,4
264,82171929,1,56,4
265,82175994,1,108,5
266,82180907,1,108,8
267,82182381,1,195,8
268,82182383,1,341,13
269,82182387,1,195,8
270,82182413,1,90,4
271,82182421,1,270,11
272,82182463,1,341,13
273,82182585,1,156,7
274,82185458,1,132,8
275,82186186,72,70,5
