,0,1,2
0,82319306,0,40
1,82211166,0,24
2,82211241,0,76
3,82211174,0,110
4,82292589,0,45
5,82270897,0,60
6,82319312,0,60
7,13250625,0,40
8,82249298,0,78
9,82301858,0,48
10,82296273,0,40
11,82275203,0,48
12,82296276,0,100
13,82275293,0,60
14,82296275,0,32
15,82275201,0,60
16,82275285,0,52
17,82269618,0,144
18,82273716,0,32
19,82287570,0,88
20,82275300,0,52
21,82287563,0,88
22,82316598,0,36
23,82308376,0,120
24,82249696,0,100
25,82269973,0,85
26,82287566,0,88
27,82275299,0,52
28,82275303,0,36
29,82249701,0,100
30,82309101,0,57
31,82309081,0,57
32,82309087,0,57
33,80680754,0,96
34,82275301,0,56
35,82249706,0,100
36,82275522,0,63
37,82309099,0,108
38,82310521,0,125
39,82249715,0,100
40,82309097,0,57
41,82269604,0,84
42,80680756,0,161
43,82316599,0,200
44,82313862,0,28
45,82316582,0,200
46,82275296,0,48
47,82309086,0,108
48,82269589,0,85
49,82267843,0,108
50,82325537,0,112
51,82325536,0,100
52,82263715,0,104
53,82319795,0,100
54,82263719,0,104
55,82303012,0,252
56,82309085,0,88
57,82273922,0,140
58,82249716,0,100
59,82325538,0,100
60,82249721,0,100
61,82323410,0,80
62,82275302,0,36
63,82287573,0,88
64,82316597,0,36
65,82276307,0,155
66,82269969,0,85
67,82309048,0,57
68,82273718,0,32
69,82269595,0,144
70,82325522,0,72
71,82325534,0,112
72,82309023,0,100
73,82249698,0,96
74,82314082,0,32
75,82319150,0,63
76,82287593,0,90
77,82269575,0,84
78,82275523,0,63
79,82314413,0,56
80,82293662,0,60
81,82309080,0,108
82,82325519,0,72
83,82319149,0,63
84,82325533,0,100
85,82309100,0,88
86,82263667,0,95
87,82293653,0,60
88,82263664,0,104
89,82314081,0,140
90,82325547,0,125
91,82275289,0,52
92,82249711,0,96
93,82269606,0,85
94,82313486,0,56
95,82269617,0,60
96,82269612,0,84
97,82325535,0,100
98,82303081,0,80
99,82275194,0,32
100,82319151,0,63
101,82316567,0,36
102,82300181,0,75
103,82293665,0,98
104,82303016,0,252
105,82310523,0,125
106,82309095,0,108
107,82309096,0,88
108,82269631,0,95
109,82280125,0,100
110,82325623,0,72
111,82309050,0,108
112,82269579,0,85
113,82273710,0,85
114,82249707,0,96
115,82290143,0,88
116,82267852,0,57
117,82275288,0,42
118,82309055,0,57
119,82323411,0,60
120,82293928,0,120
121,82295381,0,85
122,82309043,0,108
123,82325543,0,100
124,82309070,0,76
125,82249703,0,96
126,82320673,0,63
127,82299712,0,44
128,82309052,0,88
129,82275294,0,40
130,82309729,0,100
131,82325549,0,95
132,82322614,0,225
133,82263695,0,104
134,82288286,0,30
135,82287592,0,180
136,82325545,0,100
137,82309042,0,76
138,82269740,0,60
139,82267853,0,57
140,82309079,0,88
141,82303023,0,152
142,82269591,0,84
143,82303014,0,252
144,82275298,0,48
145,82305682,0,50
146,82263734,0,95
147,82291694,0,336
148,82296279,0,78
149,82325539,0,100
150,82269608,0,84
151,82269616,0,125
152,82295383,0,96
153,82290046,0,100
154,82325550,0,125
155,82325548,0,95
156,82263668,0,104
157,82305681,0,24
158,82318939,0,44
159,82249719,0,96
160,82313370,0,100
161,82263721,0,104
162,80682420,0,140
163,82295374,0,104
164,82320470,0,88
165,82325518,0,63
166,82325551,0,95
167,82231900,0,96
168,82287562,0,100
169,82316055,0,120
170,82309045,0,88
171,82269628,0,144
172,82249756,0,96
173,82303867,0,88
174,82309207,0,57
175,82290068,0,75
176,82313838,0,28
177,82263696,0,104
178,82287569,0,100
179,82249697,0,100
180,82269597,0,85
181,82319792,0,125
182,82287587,0,160
183,82293655,0,56
184,82317538,0,224
185,82314080,0,40
186,82269619,0,60
187,82315947,0,80
188,82325587,0,32
189,82325546,0,95
190,82309090,0,76
191,82269632,0,100
192,82314727,0,63
193,80686007,0,76
194,82217714,0,432
195,82325541,0,100
196,82242802,0,40
197,82323154,0,108
198,82311717,0,288
199,82291515,0,50
200,82249774,0,150
201,82287565,0,100
202,82284539,0,76
203,82290039,0,104
204,82263730,0,100
205,82307866,0,406
206,82309603,0,170
207,82269592,0,125
208,82298115,0,176
209,82318938,0,44
210,82263736,0,100
211,82269603,0,125
212,82263723,0,104
213,82287585,0,88
214,82276305,0,155
215,82290904,0,75
216,82295141,0,156
217,82303022,0,152
218,82275195,0,32
219,82326838,0,252
220,82307096,0,288
221,82276497,0,44
222,82297428,0,60
223,82293652,0,60
224,82303010,0,252
225,82249775,0,164
226,82276496,0,44
227,82287595,0,180
228,82249702,0,100
229,82263665,0,100
230,82280122,0,100
231,82269580,0,84
232,82320831,0,98
233,82249779,0,164
234,82325517,0,63
235,82287582,0,88
236,80681870,0,126
237,80682474,0,80
238,82325563,0,68
239,82273713,0,60
240,82300175,0,250
241,82314406,0,48
242,82325542,0,112
243,82291514,0,50
244,82328321,0,95
245,82303082,0,80
246,82300202,0,75
247,80683069,0,68
248,82303006,0,188
249,82300177,0,112
250,82325621,0,40
251,82255245,0,136
252,82284878,0,56
253,82287598,0,90
254,82297432,0,60
255,82309555,0,270
256,82325607,0,252
257,82249777,0,150
258,82325540,0,112
259,82303025,0,172
260,82293660,0,60
261,82296277,0,100
262,82313485,0,56
263,82314083,0,72
264,80682532,0,54
265,80680152,0,204
266,82300180,0,196
267,82321493,0,56
268,82300179,0,312
269,82303024,0,172
270,82263694,0,63
271,82249710,0,100
272,82300178,0,224
273,82303013,0,188
274,82325552,0,95
275,82303002,0,320
276,82300289,0,168
277,82298104,0,96
278,82313635,0,144
279,82293674,0,60
280,82325556,0,95
281,82287601,0,90
282,82311843,0,124
283,82312232,0,36
284,82329873,0,96
285,82287594,0,160
286,82296760,0,270
287,82287572,0,100
288,82256483,0,108
289,82302991,0,320
290,82290146,0,88
291,82300176,0,295
292,82325528,0,72
293,82252925,0,620
294,82307867,0,288
295,82263739,0,100
296,82315950,0,176
297,82314409,0,288
298,82267797,0,60
299,82282189,0,150
300,82269627,0,144
301,80685076,0,100
302,82298100,0,96
303,82232056,0,96
304,82325558,0,95
305,82315944,0,80
306,82263706,0,90
307,82287643,0,90
308,82309105,0,88
309,82325561,0,95
310,82293927,0,80
311,82253795,0,280
312,82311716,0,210
313,82269622,0,72
314,82197850,0,90
315,82325608,0,252
316,82325531,0,68
317,82322607,0,130
318,82312542,0,100
319,82276495,0,44
320,82312543,0,100
321,82295375,0,100
322,82325544,0,112
323,82318937,0,44
324,82280133,0,100
325,82317531,0,50
326,82263698,0,92
327,82299713,0,44
328,82313135,0,135
329,82263737,0,100
330,82269625,0,125
331,82290142,0,55
332,82269607,0,100
333,82316459,0,84
334,82296298,0,78
335,80680758,0,120
336,82314506,0,144
337,82303004,0,315
338,82325560,0,95
339,82287577,0,88
340,82303015,0,184
341,82321486,0,56
342,82309317,0,75
343,82293676,0,60
344,82314478,0,80
345,82319177,0,217
346,82269630,0,72
347,82315589,0,68
348,82324239,0,84
349,82293943,0,96
350,82284540,0,100
351,82300206,0,371
352,82325565,0,90
353,82263697,0,92
354,82324393,0,114
355,82326955,0,25
356,82325554,0,95
357,82263675,0,92
358,82303084,0,100
359,82325606,0,188
360,82263670,0,100
361,82315069,0,60
362,82312548,0,100
363,82314509,0,112
364,82309037,0,80
365,82306848,0,96
366,82299152,0,75
367,82296757,0,88
368,82322615,0,225
369,82325553,0,125
370,82314745,0,120
371,82311718,0,258
372,82263738,0,100
373,82288126,0,60
374,82295380,0,84
